path,key,type,value,depth
metadata,metadata,object,,1
metadata.version,version,string,1.0,2
metadata.language,language,string,pt-BR,2
metadata.surveyId,surveyId,string,stress-test-2025-01,2
sections,sections,array,,1
sections[0],sections[0],object,,2
sections[0].id,id,string,executive,3
sections[0].index,index,number,0,3
sections[0].name,name,string,Relatório Executivo,3
sections[0].icon,icon,string,FileText,3
sections[0].subsections,subsections,array,,3
sections[0].subsections[0],subsections[0],object,,4
sections[0].subsections[0].id,id,string,executive-summary,5
sections[0].subsections[0].index,index,number,0,5
sections[0].subsections[0].name,name,string,Sumário Executivo,5
sections[0].subsections[0].icon,icon,string,ClipboardList,5
sections[0].subsections[0].components,components,array,,5
sections[0].subsections[0].components[0],components[0],object,,6
sections[0].subsections[0].components[0].type,type,string,card,7
sections[0].subsections[0].components[0].index,index,number,0,7
sections[0].subsections[0].components[0].title,title,string,Sobre o Estudo,7
sections[0].subsections[0].components[0].text,text,string,"Esta pesquisa de satisfação de funcionários foi conduzida entre janeiro e março de 2025, envolvendo 850 colaboradores da InnovaTech Solutions.
O objetivo principal é avaliar o nível de engajamento, satisfação e identificar áreas de melhoria no ambiente de trabalho, cultura organizacional e processos internos.",7
sections[0].subsections[0].components[0].cardStyleVariant,cardStyleVariant,string,default,7
sections[0].subsections[0].components[1],components[1],object,,6
sections[0].subsections[0].components[1].type,type,string,grid-container,7
sections[0].subsections[0].components[1].index,index,number,1,7
sections[0].subsections[0].components[1].components,components,array,,7
sections[0].subsections[0].components[1].components[0],components[0],object,,8
sections[0].subsections[0].components[1].components[0].type,type,string,card,9
sections[0].subsections[0].components[1].components[0].index,index,number,0,9
sections[0].subsections[0].components[1].components[0].title,title,string,Principais Descobertas,9
sections[0].subsections[0].components[1].components[0].text,text,string,"O NPS organizacional é de 35 pontos, classificado como 'Bom', indicando uma base sólida de funcionários satisfeitos.
Principais pontos positivos incluem: qualidade do trabalho em equipe (72% positivo), oportunidades de desenvolvimento (68% positivo) e flexibilidade de horários (65% positivo).
Áreas que necessitam atenção: comunicação interna (45% negativo), carga de trabalho (52% negativo) e processos burocráticos (48% negativo).
A análise por departamento revela que Engenharia e Marketing apresentam maior satisfação, enquanto Vendas e Operações demonstram maior insatisfação.",9
sections[0].subsections[0].components[1].components[0].cardStyleVariant,cardStyleVariant,string,border-left,9
sections[0].subsections[0].components[1].components[1],components[1],object,,8
sections[0].subsections[0].components[1].components[1].type,type,string,card,9
sections[0].subsections[0].components[1].components[1].index,index,number,1,9
sections[0].subsections[0].components[1].components[1].title,title,string,Conclusões,9
sections[0].subsections[0].components[1].components[1].text,text,string,"A empresa possui uma base sólida de funcionários engajados, mas há oportunidades significativas de melhoria.
Priorizar melhorias na comunicação interna e redução de processos burocráticos pode aumentar significativamente a satisfação.
Programas de desenvolvimento profissional e reconhecimento devem ser expandidos, especialmente para departamentos com menor satisfação.
A implementação de feedback contínuo e ações de melhoria baseadas nestes resultados é essencial para manter e melhorar o engajamento.",9
sections[0].subsections[0].components[1].components[1].cardStyleVariant,cardStyleVariant,string,border-left,9
sections[0].subsections[1],subsections[1],object,,4
sections[0].subsections[1].id,id,string,executive-recommendations,5
sections[0].subsections[1].index,index,number,1,5
sections[0].subsections[1].name,name,string,Recomendações Estratégicas,5
sections[0].subsections[1].icon,icon,string,AlertTriangle,5
sections[0].subsections[1].components,components,array,,5
sections[0].subsections[1].components[0],components[0],object,,6
sections[0].subsections[1].components[0].type,type,string,card,7
sections[0].subsections[1].components[0].index,index,number,0,7
sections[0].subsections[1].components[0].title,title,string,,7
sections[0].subsections[1].components[0].text,text,string,,7
sections[0].subsections[1].components[0].cardStyleVariant,cardStyleVariant,string,overflow-hidden,7
sections[0].subsections[1].components[0].components,components,array,,7
sections[0].subsections[1].components[0].components[0],components[0],object,,8
sections[0].subsections[1].components[0].components[0].type,type,string,recommendationsTable,9
sections[0].subsections[1].components[0].components[0].index,index,number,0,9
sections[0].subsections[1].components[0].components[0].dataPath,dataPath,string,sectionData.recommendationsTable,9
sections[0].data,data,object,,3
sections[0].data.recommendationsTable,recommendationsTable,object,,4
sections[0].data.recommendationsTable.config,config,object,,5
sections[0].data.recommendationsTable.config.severityLabels,severityLabels,object,,6
sections[0].data.recommendationsTable.config.severityLabels.high,high,string,Alto,7
sections[0].data.recommendationsTable.config.severityLabels.medium,medium,string,Médio,7
sections[0].data.recommendationsTable.config.severityLabels.low,low,string,Baixo,7
sections[0].data.recommendationsTable.config.severityLabels.critical,critical,string,Crítico,7
sections[0].data.recommendationsTable.items,items,array,,5
sections[0].data.recommendationsTable.items[0],items[0],object,,6
sections[0].data.recommendationsTable.items[0].id,id,number,1,7
sections[0].data.recommendationsTable.items[0].recommendation,recommendation,string,Implementar Sistema de Comunicação Interna Mais Eficiente,7
sections[0].data.recommendationsTable.items[0].severity,severity,string,high,7
sections[0].data.recommendationsTable.items[0].stakeholders,stakeholders,array,,7
sections[0].data.recommendationsTable.items[0].stakeholders[0],stakeholders[0],string,Comunicação Corporativa,8
sections[0].data.recommendationsTable.items[0].stakeholders[1],stakeholders[1],string,Tecnologia da Informação,8
sections[0].data.recommendationsTable.items[0].stakeholders[2],stakeholders[2],string,Recursos Humanos,8
sections[0].data.recommendationsTable.items[0].tasks,tasks,array,,7
sections[0].data.recommendationsTable.items[0].tasks[0],tasks[0],object,,8
sections[0].data.recommendationsTable.items[0].tasks[0].task,task,string,Avaliar ferramentas de comunicação interna disponíveis,9
sections[0].data.recommendationsTable.items[0].tasks[0].owner,owner,string,TI,9
sections[0].data.recommendationsTable.items[0].tasks[1],tasks[1],object,,8
sections[0].data.recommendationsTable.items[0].tasks[1].task,task,string,Definir estratégia de comunicação por departamento,9
sections[0].data.recommendationsTable.items[0].tasks[1].owner,owner,string,Comunicação Corporativa,9
sections[0].data.recommendationsTable.items[0].tasks[2],tasks[2],object,,8
sections[0].data.recommendationsTable.items[0].tasks[2].task,task,string,Implementar plataforma unificada de comunicação,9
sections[0].data.recommendationsTable.items[0].tasks[2].owner,owner,string,TI,9
sections[0].data.recommendationsTable.items[0].tasks[3],tasks[3],object,,8
sections[0].data.recommendationsTable.items[0].tasks[3].task,task,string,Treinar equipes no uso da nova plataforma,9
sections[0].data.recommendationsTable.items[0].tasks[3].owner,owner,string,RH,9
sections[0].data.recommendationsTable.items[0].tasks[4],tasks[4],object,,8
sections[0].data.recommendationsTable.items[0].tasks[4].task,task,string,Monitorar adoção e ajustar conforme necessário,9
sections[0].data.recommendationsTable.items[0].tasks[4].owner,owner,string,Comunicação Corporativa,9
sections[0].data.recommendationsTable.items[1],items[1],object,,6
sections[0].data.recommendationsTable.items[1].id,id,number,2,7
sections[0].data.recommendationsTable.items[1].recommendation,recommendation,string,Reduzir Processos Burocráticos e Simplificar Workflows,7
sections[0].data.recommendationsTable.items[1].severity,severity,string,high,7
sections[0].data.recommendationsTable.items[1].stakeholders,stakeholders,array,,7
sections[0].data.recommendationsTable.items[1].stakeholders[0],stakeholders[0],string,Operações,8
sections[0].data.recommendationsTable.items[1].stakeholders[1],stakeholders[1],string,Processos e Qualidade,8
sections[0].data.recommendationsTable.items[1].stakeholders[2],stakeholders[2],string,Liderança,8
sections[0].data.recommendationsTable.items[1].tasks,tasks,array,,7
sections[0].data.recommendationsTable.items[1].tasks[0],tasks[0],object,,8
sections[0].data.recommendationsTable.items[1].tasks[0].task,task,string,Mapear processos atuais e identificar gargalos,9
sections[0].data.recommendationsTable.items[1].tasks[0].owner,owner,string,Processos e Qualidade,9
sections[0].data.recommendationsTable.items[1].tasks[1],tasks[1],object,,8
sections[0].data.recommendationsTable.items[1].tasks[1].task,task,string,Priorizar processos para simplificação,9
sections[0].data.recommendationsTable.items[1].tasks[1].owner,owner,string,Liderança,9
sections[0].data.recommendationsTable.items[1].tasks[2],tasks[2],object,,8
sections[0].data.recommendationsTable.items[1].tasks[2].task,task,string,Redesenhar workflows críticos,9
sections[0].data.recommendationsTable.items[1].tasks[2].owner,owner,string,Operações,9
sections[0].data.recommendationsTable.items[1].tasks[3],tasks[3],object,,8
sections[0].data.recommendationsTable.items[1].tasks[3].task,task,string,Implementar automações onde possível,9
sections[0].data.recommendationsTable.items[1].tasks[3].owner,owner,string,TI,9
sections[0].data.recommendationsTable.items[1].tasks[4],tasks[4],object,,8
sections[0].data.recommendationsTable.items[1].tasks[4].task,task,string,Comunicar mudanças e treinar equipes,9
sections[0].data.recommendationsTable.items[1].tasks[4].owner,owner,string,RH,9
sections[0].data.recommendationsTable.items[2],items[2],object,,6
sections[0].data.recommendationsTable.items[2].id,id,number,3,7
sections[0].data.recommendationsTable.items[2].recommendation,recommendation,string,Expandir Programas de Desenvolvimento Profissional,7
sections[0].data.recommendationsTable.items[2].severity,severity,string,medium,7
sections[0].data.recommendationsTable.items[2].stakeholders,stakeholders,array,,7
sections[0].data.recommendationsTable.items[2].stakeholders[0],stakeholders[0],string,Recursos Humanos,8
sections[0].data.recommendationsTable.items[2].stakeholders[1],stakeholders[1],string,Liderança,8
sections[0].data.recommendationsTable.items[2].stakeholders[2],stakeholders[2],string,Desenvolvimento Organizacional,8
sections[0].data.recommendationsTable.items[2].tasks,tasks,array,,7
sections[0].data.recommendationsTable.items[2].tasks[0],tasks[0],object,,8
sections[0].data.recommendationsTable.items[2].tasks[0].task,task,string,Avaliar necessidades de desenvolvimento por departamento,9
sections[0].data.recommendationsTable.items[2].tasks[0].owner,owner,string,RH,9
sections[0].data.recommendationsTable.items[2].tasks[1],tasks[1],object,,8
sections[0].data.recommendationsTable.items[2].tasks[1].task,task,string,Criar plano de desenvolvimento personalizado,9
sections[0].data.recommendationsTable.items[2].tasks[1].owner,owner,string,Desenvolvimento Organizacional,9
sections[0].data.recommendationsTable.items[2].tasks[2],tasks[2],object,,8
sections[0].data.recommendationsTable.items[2].tasks[2].task,task,string,Estabelecer parcerias com instituições de ensino,9
sections[0].data.recommendationsTable.items[2].tasks[2].owner,owner,string,RH,9
sections[0].data.recommendationsTable.items[2].tasks[3],tasks[3],object,,8
sections[0].data.recommendationsTable.items[2].tasks[3].task,task,string,Implementar programa de mentoria,9
sections[0].data.recommendationsTable.items[2].tasks[3].owner,owner,string,Liderança,9
sections[0].data.recommendationsTable.items[2].tasks[4],tasks[4],object,,8
sections[0].data.recommendationsTable.items[2].tasks[4].task,task,string,Acompanhar progresso e ajustar programas,9
sections[0].data.recommendationsTable.items[2].tasks[4].owner,owner,string,Desenvolvimento Organizacional,9
sections[0].data.recommendationsTable.items[3],items[3],object,,6
sections[0].data.recommendationsTable.items[3].id,id,number,4,7
sections[0].data.recommendationsTable.items[3].recommendation,recommendation,string,Melhorar Gestão de Carga de Trabalho,7
sections[0].data.recommendationsTable.items[3].severity,severity,string,medium,7
sections[0].data.recommendationsTable.items[3].stakeholders,stakeholders,array,,7
sections[0].data.recommendationsTable.items[3].stakeholders[0],stakeholders[0],string,Liderança,8
sections[0].data.recommendationsTable.items[3].stakeholders[1],stakeholders[1],string,Recursos Humanos,8
sections[0].data.recommendationsTable.items[3].stakeholders[2],stakeholders[2],string,Operações,8
sections[0].data.recommendationsTable.items[3].tasks,tasks,array,,7
